calories_g,fat_g,carbohydrates_g,protein_g,cholesterol_mg,sodium_mg
448.0,21.3,36.5,29.7, 82  ,1400.0
199.0,13.4,3.1,16.3, 54  ,333.0
394.0,24.2,14.3,26.3, 97  ,629.0
1757.0,160.6,1.0,72.5, 362  ,343.0
536.0,26.2,45.2,29.0, 121  ,1312.0
223.0,2.3,32.0,20.4, 173  ,654.0
384.0,15.6,38.7,21.3, 63  ,533.0
562.0,48.0,1.0,29.6, 113  ,395.0
471.0,24.9,24.8,42.1, 187 ,840.0
82.0,5.5,1.7,6.2, 32  ,192.0
343.0,17.5,40.7,10.3, 16  ,159.0
345.0,23.8,5.2,26.3, 74  ,654.0
212.0,6.4,20.3,18.5, 59  ,117.0
527.0,34.3,22.6,34.6, 108  ,814.0
358.0,14.2,29.5,23.1, 76  ,445.0
356.0,13.6,45.8,13.8, 16  ,730.0
495.0,38.4,13.9,23.9, 103  ,892.0
463.0,27.2,21.6,36.4, 130  ,1313.0
811.0,39.6,74.6,37.0, 140  ,3181.0
412.0,23.9,30.4,18.4, 55 ,517.0
224.0,12.8,0.8,25.4, 63  ,220.0
426.0,23.7,4.9,45.6, 127  ,639.0
385.0,18.0,37.0,18.1, 45 ,1245.0
353.0,20.1,24.1,18.4, 112  ,763.0
578.0,25.3,58.4,27.9, 71  ,914.0
372.0,24.7,18.5,18.2, 98  ,335.0
272.0,9.8,19.9,24.7, 85 ,1282.0
189.0,9.4,11.2,15.1, 50  ,416.0
584.0,40.9,7.7,41.6, 195 ,655.0
300.0,8.1,32.4,23.0, 61 ,1058.0
457.0,19.9,36.0,29.9, 128  ,1142.0
300.0,16.8,5.7,30.3, 73 ,261.0
448.0,26.6,13.3,28.8, 99 ,543.0
265.0,12.4,14.1,23.2, 67  ,633.0
318.0,20.1,13.2,20.5, 56  ,1092.0
335.0,5.0,49.4,21.2, 49  ,990.0
287.0,12.4,6.8,35.5, 101 ,863.0
196.0,7.0,7.6,23.8, 61 ,511.0
619.0,27.1,66.8,26.1, 60 ,1459.0
378.0,30.7,4.8,19.9, 59 ,1097.0
440.0,32.3,14.1,23.0, 127  ,818.0
586.0,34.3,3.7,61.7, 194 ,1351.0
232.0,9.3,13.9,22.8, 59 ,1176.0
456.0,31.0,9.5,33.4, 136 ,1603.0
376.0,27.3,9.5,22.0, 97  ,711.0
343.0,16.8,15.3,31.0, 95  ,940.0
413.0,18.1,19.6,39.1, 96  ,661.0
432.0,23.9,33.3,19.8, 68  ,847.0
528.0,18.5,48.3,37.5, 107 ,1265.0
656.0,42.1,50.9,20.1, 111  ,1088.0
375.0,20.9,16.7,32.2, 78 ,807.0
319.0,18.5,13.5,23.1, 115  ,597.0
355.0,18.1,15.2,30.2, 83  ,623.0
423.0,32.1,1.2,30.9, 97 ,662.0
487.0,16.0,62.1,24.2, 73  ,1663.0
